timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,algorithm,dataset,language,phase
2024-09-06T15:07:59,codecarbon,c877ddb6-48df-4778-9454-e86ed682e4fb,0.0010979175567626,2.9630346246560414e-09,2.698776976836772e-06,42.5,0.0,3.0,1.2421111265818278e-08,0,6.783008575439454e-10,1.3099412123362224e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:08:03,codecarbon,c9aff091-75ef-4fc1-a6e9-9d1c2ef3331c,0.0010528564453125,2.8039955356385974e-09,2.663226832226248e-06,42.5,0.0,3.0,1.1782182587517632e-08,0,6.141265233357746e-10,1.2396309110853409e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:08:07,codecarbon,366a7a13-cf83-432b-b1d4-81fbaacb2921,0.0009999275207519,2.6931258236037366e-09,2.6933210334869928e-06,42.5,0.0,3.0,1.1309319072299534e-08,0,5.968411763509114e-10,1.1906160248650446e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-29T19:39:24,codecarbon,1c52418f-cd10-4df8-9f0c-dd4d4a25c224,0.0014421939849853516,3.836981870333354e-09,2.6605171774949033e-06,42.5,0.0,3.0,1.6128023465474447e-08,0,8.350610733032226e-10,1.696308453877767e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:39:29,codecarbon,d83ec7c3-f158-4f25-a928-0d2240a7d064,0.0002570152282714844,6.848350656032563e-10,2.6645699953617813e-06,42.5,0.0,3.0,2.879401048024496e-09,0,1.4821688334147135e-10,3.027617931365967e-09,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:39:33,codecarbon,a602f39c-5bb3-4506-b7ac-dfd386997f41,0.0014982223510742188,3.985002897845375e-09,2.659820750229861e-06,42.5,0.0,3.0,1.6764137479994034e-08,0,8.533398310343425e-10,1.7617477311028375e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:39:36,codecarbon,05217f12-cd4b-44bb-a571-86b3bca7c84b,0.001149892807006836,3.0324386749002676e-09,2.6371490076485364e-06,42.5,0.0,3.0,1.2713836299048532e-08,0,6.924072901407878e-10,1.340624358918932e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:39:40,codecarbon,dff95525-befe-4824-9059-a5b650e2d8b9,0.001402139663696289,3.725378120210436e-09,2.656923712142682e-06,42.5,0.0,3.0,1.566641860538059e-08,0,8.032719294230143e-10,1.6469690534803605e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:39:44,codecarbon,22b1ae5e-44cc-424b-a6a1-31133f511b38,0.0011761188507080078,3.1402074505223173e-09,2.669974593666239e-06,42.5,0.0,3.0,1.318669981426663e-08,0,6.959835688273112e-10,1.3882683383093941e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:39:51,codecarbon,b1eb3c2e-ddb5-4fcb-a107-2afeb019c478,0.0009369850158691406,2.5129644140932296e-09,2.6819686243992083e-06,42.5,0.0,3.0,1.0552174515194363e-08,0,5.575021107991536e-10,1.1109676625993517e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:39:55,codecarbon,f0df228d-f741-47e6-8f93-e4065d61a15d,0.0009188652038574219,2.457596969736947e-09,2.674600103932422e-06,42.5,0.0,3.0,1.0315742757585313e-08,0,5.49157460530599e-10,1.0864900218115912e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:39:59,codecarbon,68c02a2a-0db6-475b-9e51-03d1da860f7c,0.0014939308166503906,3.994815039634705e-09,2.6740294765400575e-06,42.5,0.0,3.0,1.6786654790242514e-08,0,8.742014567057293e-10,1.7660856246948243e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:40:03,codecarbon,7b7876a5-9a03-4476-883f-6fc404385304,0.001508951187133789,4.027217578093212e-09,2.6688852578079747e-06,42.5,0.0,3.0,1.690487066904704e-08,0,8.992354075113932e-10,1.7804106076558434e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:40:07,codecarbon,66f6d5ae-2300-4a39-98d1-130ee38a944c,0.0011298656463623047,3.0528644082281325e-09,2.701971175118989e-06,42.5,0.0,3.0,1.2806720203823514e-08,0,6.898244222005208e-10,1.3496544626024034e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
