,algorithm,dataset,language,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
40,XGBoost,breastCancer,cpp,6.542828250007005,8.009112754096318e-07,2.648757751809226e-07,4.048337585212312e-08,9.6291,4.649378624026214e-07
41,XGBoost,breastCancer,java,9.885713334020693,1.563041791812888e-05,5.169260553047747e-06,5.229021294050936e-07,10.302400000000002,9.784493464130768e-06
42,XGBoost,breastCancer,matlab,0.4418453931808471,5.583494573831558e-06,1.2629641386224034e-06,2.858231650290047e-06,42.5,5.215523292620977e-06
43,XGBoost,breastCancer,python,0.0558624505996703,7.05248405536016e-07,1.595243683386247e-07,2.8556524566719283e-06,42.5,6.588736673196157e-07
44,XGBoost,iris,R,1.979064816609025,4.397424176011959e-06,1.4543073286423232e-06,7.34845761778961e-07,5.0,2.7485898843992295e-06
45,XGBoost,iris,cpp,6.653861375001725,4.772175880964538e-07,1.57824446300083e-07,2.3719226687382276e-08,9.867300000000002,2.71592748266058e-07
46,XGBoost,iris,java,9.917498666007305,1.5182723953609722e-05,5.0212001004899e-06,5.062970280702231e-07,10.029999999999998,9.398193931592684e-06
47,XGBoost,iris,matlab,0.2050176858901977,2.5894274214903516e-06,3.347962525457904e-07,1.443435449290486e-06,42.5,2.4188936253388724e-06
48,XGBoost,iris,python,0.1078971624374389,1.3626885778374143e-06,3.082347055525119e-07,2.8564798033614385e-06,42.5,1.2729905214574602e-06
49,XGBoost,wine,R,1.8921558083500716,4.204371057877628e-06,1.3904611875191734e-06,7.348555302831025e-07,5.0,2.6278936341016866e-06
50,XGBoost,wine,cpp,6.662123374990188,8.904487992698625e-07,2.944874459969304e-07,4.4203241132165935e-08,9.750800000000002,5.243263610375839e-07
51,XGBoost,wine,java,9.949165124999126,1.6429941516218496e-05,5.4336773983607485e-06,5.461440563196227e-07,10.7156,1.0431451556502164e-05
52,XGBoost,wine,matlab,0.6909360885620117,8.731811361180412e-06,1.9751008026535644e-06,2.8585860950006582e-06,42.5,8.156223214334912e-06
53,XGBoost,wine,python,0.6477614402770996,8.186047193076875e-06,1.8516511308852171e-06,2.8585373273850538e-06,42.5,7.646437502569623e-06
54,decisionTree,breastCancer,R,1.998041858477518,4.439665628066804e-06,1.4682773371829973e-06,7.348581321743109e-07,5.0,2.7749572458883956e-06
55,decisionTree,breastCancer,cpp,6.426378791977186,4.870767950490513e-07,1.610850635050322e-07,2.506622605348658e-08,9.7543,2.762260823764939e-07
56,decisionTree,breastCancer,java,9.813127375004116,1.5487369168222544e-05,5.121951756576224e-06,5.219489731298914e-07,10.3669,9.712360332115245e-06
57,decisionTree,breastCancer,matlab,0.0708988904953002,8.949286474121941e-07,2.0242928033004875e-07,2.855137850110705e-06,42.5,8.361099494828119e-07
58,decisionTree,breastCancer,python,0.0127937555313109,1.603179176648458e-07,3.6263271704117474e-08,2.8335330380320304e-06,42.5,1.4994164307912197e-07
59,decisionTree,iris,R,1.9697760079987348,4.3768158473928155e-06,1.447491783418057e-06,7.348509696779858e-07,5.0,2.735689687736643e-06
60,decisionTree,iris,cpp,6.622757417004323,3.387936570769558e-07,1.1204516068117669e-07,1.6918203948327336e-08,9.9036,1.833194186626061e-07
61,decisionTree,iris,java,9.69710866600508,1.4662112991243248e-05,4.849024684237984e-06,5.000485042760316e-07,10.0466,9.078832532927388e-06
62,decisionTree,iris,matlab,0.0344288587570189,4.3404688106642836e-07,7.100762905199906e-08,2.0048083810451753e-06,42.5,4.056135978963641e-07
63,decisionTree,iris,python,0.0031383275985717,3.828463289472792e-08,8.659830822255877e-09,2.753826799556469e-06,42.5,3.595732980304295e-08
64,decisionTree,wine,R,2.0114585833158345,4.469483389221649e-06,1.4781386075166054e-06,7.348590731176756e-07,5.0,2.793591354404473e-06
65,decisionTree,wine,cpp,6.596027209016029,1.1536015331750396e-06,3.815167918485829e-07,5.7840390853314265e-08,9.7106,6.853667302458813e-07
66,decisionTree,wine,java,10.193903583014617,1.7336838950738756e-05,5.73360470411042e-06,5.624542803861635e-07,10.6481,1.097970512674062e-05
67,decisionTree,wine,matlab,0.0355943918228148,4.491167763868968e-07,1.0158841835161053e-07,2.854037255236254e-06,42.5,4.196334381898245e-07
68,decisionTree,wine,python,0.0479839324951171,6.055179172092014e-07,1.3696573080105257e-07,2.854399694320092e-06,42.5,5.657451682620579e-07
69,logisticRegression,breastCancer,R,2.618529833154753,5.818205008697178e-06,1.9241851240663138e-06,7.348345604509121e-07,5.0,3.6366129393637592e-06
70,logisticRegression,breastCancer,cpp,6.560298166994471,9.167660766401404e-07,3.03191043334274e-07,4.621604622479798e-08,9.674900000000004,5.400610933021971e-07
71,logisticRegression,breastCancer,java,10.277277999994112,1.738315428826934e-05,5.7489220199078606e-06,5.593817759830136e-07,10.3517,1.0898569410104472e-05
72,logisticRegression,breastCancer,matlab,0.2794326782226562,3.5305413570668964e-06,7.985943328031038e-07,2.8571122585283355e-06,42.5,3.2979457742638063e-06
73,logisticRegression,breastCancer,python,0.0283384084701537,3.551748428079817e-07,7.332385147014302e-08,2.558730508569571e-06,42.5,3.319082491927677e-07
74,logisticRegression,iris,R,2.2574694751761855,5.01607703017847e-06,1.658906963266563e-06,7.348523646139885e-07,5.0,3.1352604747128983e-06
75,logisticRegression,iris,cpp,6.612245416006772,5.429923848170462e-07,1.795773555219239e-07,2.7158301639441144e-08,9.9678,3.067268573260227e-07
76,logisticRegression,iris,java,9.888389750005445,1.5405401244597846e-05,5.094843488810911e-06,5.152348984634333e-07,10.0131,9.535325628829091e-06
77,logisticRegression,iris,matlab,0.0928768873214721,1.17247141400973e-06,2.6520834396334497e-07,2.8554845806769458e-06,42.5,1.0953520238399503e-06
78,logisticRegression,iris,python,0.0051482439041137,6.377976139386496e-08,1.4426726908246678e-08,2.8001692821339795e-06,42.5,5.974714954694115e-08
79,logisticRegression,wine,R,1.971299900207669,4.380244859170893e-06,1.4486258193352795e-06,7.348581102765368e-07,5.0,2.7378144216749616e-06
80,logisticRegression,wine,cpp,7.155586874985602,3.695256820645356e-06,1.2220879452101907e-06,1.7078794046681878e-07,9.8323,2.2607029583574883e-06
81,logisticRegression,wine,java,12.60449566700845,2.827934678457176e-05,9.352489009900005e-06,7.419962890208777e-07,10.332,1.772782593363576e-05
82,logisticRegression,wine,matlab,0.4645433902740478,5.8703262872166106e-06,1.3278443248632486e-06,2.8583750653816037e-06,42.5,5.483425524499682e-06
83,logisticRegression,wine,python,0.10145366191864,1.2811092966132694e-06,2.897817984567351e-07,2.856225143955364e-06,42.5,1.1967941953076258e-06
84,randomForest,breastCancer,R,1.9782193498220295,4.395591066995014e-06,1.4537010864944577e-06,7.348533017552375e-07,5.0,2.747417719801888e-06
85,randomForest,breastCancer,cpp,6.484973209007876,7.245426692997466e-07,2.396193025054736e-07,3.69499294419032e-08,9.6688,4.161213157211767e-07
86,randomForest,breastCancer,java,9.801940750010544,1.575818184347138e-05,5.211514382909168e-06,5.316818899260905e-07,10.3923,9.8747205195873e-06
87,randomForest,breastCancer,matlab,0.2546490907669067,3.217597898509767e-06,7.278077742513154e-07,2.858059901789283e-06,42.5,3.005601283576754e-06
88,randomForest,breastCancer,python,0.1175781249999999,1.4852638211515214e-06,3.359607352891896e-07,2.857329506145393e-06,42.5,1.3874555793073444e-06
89,randomForest,iris,R,1.8664803500752896,4.147246484295466e-06,1.3715690627932276e-06,7.34842590817675e-07,5.0,2.592218275919246e-06
90,randomForest,iris,cpp,6.597654999990482,3.659594210348522e-07,1.2102936780580425e-07,1.8344300786564144e-08,9.8633,1.9432653109907957e-07
91,randomForest,iris,java,9.84972125000786,1.569849153290816e-05,5.191773722780322e-06,5.270985432989972e-07,10.5073,9.883286169094005e-06
92,randomForest,iris,matlab,0.1583376407623291,2.0003212160534334e-06,4.524646577864224e-07,2.8575980747034888e-06,42.5,1.8685714072651335e-06
93,randomForest,iris,python,0.0604063034057616,7.626726494895087e-07,1.7251350262392897e-07,2.855880590012173e-06,42.5,7.124994860755073e-07
94,randomForest,wine,R,4.477759583154693,9.95001153024431e-06,3.2906479132593377e-06,7.348874917128344e-07,5.0,6.218985717795375e-06
95,randomForest,wine,cpp,7.571835833019577,5.333271925267359e-06,1.7638090245805704e-06,2.3294337905331738e-07,9.7395,3.2604776488368357e-06
96,randomForest,wine,java,11.7082392089942,2.411344126876568e-05,7.974749069523649e-06,6.81122833858527e-07,10.2724,1.509499658837942e-05
97,randomForest,wine,matlab,0.7048424243927002,8.907619747850632e-06,2.014867956484821e-06,2.85860707694449e-06,42.5,8.320451809300318e-06
98,randomForest,wine,python,0.8794038772583008,1.1113695472478867e-05,2.51387346109283e-06,2.858609059136878e-06,42.5,1.0381069133679072e-05
