,algorithm,dataset,language,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
21,KNN,wine,R,train,0.001996302604675243,2.2503060323220714e-08,5.090102232871233e-09,2.549659371432991e-06,42.5,2.1385440119990602e-08
22,KNN,wine,cpp,test,0.01021462640055683,1.280250474570595e-07,4.2340187644903805e-08,4.142964951844247e-06,42.5,1.1972476273437379e-07
23,KNN,wine,cpp,train,0.0009114303998406067,1.0418779054951437e-08,3.4456777714954295e-09,3.749085463445974e-06,42.5,9.867213193838663e-09
24,KNN,wine,java,test,0.00099053382873531,1.173370193552088e-08,2.384781789011046e-09,2.5006985442125153e-06,42.5,1.114982145803946e-08
25,KNN,wine,java,train,0.0009383042653401133,1.1116552132147331e-08,2.5145196260831976e-09,2.6753349557305933e-06,42.5,1.0562401126932216e-08
26,KNN,wine,matlab,test,0.029973427454630486,3.774757683277131e-07,7.95364525967347e-08,2.66091090966898e-06,42.5,3.5275702675183613e-07
27,KNN,wine,matlab,train,0.017615326245625767,2.2083606212227436e-07,4.495017343636244e-08,2.554359525424791e-06,42.5,2.0649996620637403e-07
28,KNN,wine,python,test,0.06839430332183834,8.637069728639392e-07,1.8176059914055e-07,2.668041298662563e-06,42.5,8.068464530838861e-07
29,KNN,wine,python,train,0.0066148678461710195,8.165420205504808e-08,1.8469853888043654e-08,2.7922785554059043e-06,42.5,7.656879999019483e-08
30,SVC,breastCancer,R,test,0.00492342313130692,5.993438539681612e-08,1.2969310032457574e-08,2.662744286130242e-06,42.5,5.633221180350694e-08
31,SVC,breastCancer,R,train,0.024217216173807732,3.0477399296230743e-07,6.631765143393372e-08,2.7525156740152087e-06,42.5,2.8486480315526334e-07
32,SVC,breastCancer,cpp,test,0.0020405527668723197,2.438040580791831e-08,7.0444667927716566e-09,3.6609322962097226e-06,42.5,2.2965543585929418e-08
33,SVC,breastCancer,cpp,train,0.00174665406666458,2.101041255053605e-08,6.94852161788818e-09,3.957886776984336e-06,42.5,1.9764828050652054e-08
34,SVC,breastCancer,java,test,0.0009223222732543466,1.0877195331785416e-08,2.1930726806871457e-09,2.4882398020656865e-06,42.5,1.0349800189336142e-08
35,SVC,breastCancer,java,train,0.00092315673828121,1.0924953001516838e-08,2.4711806691311022e-09,2.6735524836094663e-06,42.5,1.0389299304397018e-08
36,SVC,breastCancer,matlab,test,0.01763280232747391,2.2123815615971886e-07,4.9074206200548285e-08,2.744005217180413e-06,42.5,2.0687497324413725e-07
37,SVC,breastCancer,matlab,train,0.04529902935028071,5.714807940853968e-07,1.292666696989404e-07,2.853283560105301e-06,42.5,5.339498817920685e-07
38,SVC,breastCancer,python,test,0.00291464328765864,3.4401676169148207e-08,7.428953654113826e-09,2.578331564202882e-06,42.5,3.25027053002958e-08
39,SVC,breastCancer,python,train,0.01047708193461095,1.306287635255743e-07,2.846967961783361e-08,2.7268037379385877e-06,42.5,1.2227115255815013e-07
40,SVC,iris,R,test,0.0033526579538980636,4.0109334168610755e-08,8.660271587275653e-09,2.615675952717614e-06,42.5,3.7793991742310705e-08
41,SVC,iris,R,train,0.009924761454264276,1.2343592003539758e-07,2.593922972276143e-08,2.6274464181630882e-06,42.5,1.1557337862473948e-07
42,SVC,iris,cpp,test,0.00165713746670609,1.974628791908294e-08,5.572052276783916e-09,3.637321205630753e-06,42.5,1.8598734696853276e-08
43,SVC,iris,cpp,train,0.0014948375668609034,1.7839386833774942e-08,5.899806334892383e-09,3.939591351816276e-06,42.5,1.6789516389423998e-08
44,SVC,iris,java,test,0.0010389169057209832,1.2313963086516771e-08,2.1368535592533457e-09,2.2302877732486085e-06,42.5,1.1698962361724289e-08
45,SVC,iris,java,train,0.0010219494501749133,1.2100872066285876e-08,2.7371688579056e-09,2.6764069348786475e-06,42.5,1.1506064070595636e-08
46,SVC,iris,matlab,test,0.015012454986572226,1.8800043066342676e-07,4.144421629967436e-08,2.7346039961909006e-06,42.5,1.75834016667472e-07
47,SVC,iris,matlab,train,0.039453236262003546,4.974785060794266e-07,1.1252764816114199e-07,2.8515018079511236e-06,42.5,4.6483843966766644e-07
48,SVC,iris,python,test,0.0021725177764892,2.505145249543367e-08,5.666538348657115e-09,2.6055425856592263e-06,42.5,2.375726346616392e-08
49,SVC,iris,python,train,0.005321868260701446,6.5140332336779e-08,1.4734482613250063e-08,2.7684778531531316e-06,42.5,6.116705360235991e-08
50,SVC,wine,R,test,0.12474302450815832,1.57587386391781e-06,3.0760243401303585e-07,2.4805095069931345e-06,42.5,1.472073567134363e-06
51,SVC,wine,R,train,1.256688396135966,1.588220873033559e-05,3.3543302984647825e-06,2.670118891366858e-06,42.5,1.4835170612291054e-05
52,SVC,wine,cpp,test,0.003621158199772807,4.457370859019513e-08,1.3492424122060294e-08,3.923878605486938e-06,42.5,4.178550022911791e-08
53,SVC,wine,cpp,train,0.03552106393350788,4.4811937259841964e-07,1.4820114266700414e-07,4.171553280701662e-06,42.5,4.186839628483473e-07
54,SVC,wine,java,test,0.0009492953618367067,1.1152227719624838e-08,2.3770829521667334e-09,2.573393747990402e-06,42.5,1.060114966498481e-08
55,SVC,wine,java,train,0.0012370109558104934,1.5170260711952493e-08,3.4314522920008066e-09,2.680812030997239e-06,42.5,1.4289297439433912e-08
56,SVC,wine,matlab,test,0.016792114575703888,2.1059927896217069e-07,4.6047163290642056e-08,2.742915702119035e-06,42.5,1.969050588431182e-07
57,SVC,wine,matlab,train,0.14928340117136635,1.8859392084457258e-06,3.9776151210632404e-07,2.669087097306345e-06,42.5,1.7617263010254614e-06
58,SVC,wine,python,test,0.42921025753021236,5.423923248494114e-06,1.186684123265416e-06,2.7641551280001965e-06,42.5,5.066430364493971e-06
59,SVC,wine,python,train,2.8870870590209963,3.648879056837824e-05,8.253618471404883e-06,2.858804841521592e-06,42.5,3.408305842015478e-05
60,adaBoost,breastCancer,R,test,0.04206396738688146,5.307726440606294e-07,1.1599314461280828e-07,2.7600501037270224e-06,42.5,4.958951583615056e-07
61,adaBoost,breastCancer,R,train,0.014038427670796664,1.7585363873729003e-07,3.82931106715872e-08,2.7398687263572485e-06,42.5,1.6447337689223116e-07
62,adaBoost,breastCancer,cpp,test,0.0009476694666469601,1.0524427679464917e-08,3.480617673297278e-09,3.6564805154682066e-06,42.5,1.0020112846110284e-08
63,adaBoost,breastCancer,cpp,train,0.004308106966830813,5.337912000775895e-08,1.7653435810726024e-08,4.09986028726987e-06,42.5,5.001246606306504e-08
64,adaBoost,breastCancer,java,test,0.0009771903355915833,1.1547288408985845e-08,2.491559829084518e-09,2.5843520078902052e-06,42.5,1.0978971366529112e-08
65,adaBoost,breastCancer,java,train,0.0010098218917846133,1.193893728432832e-08,2.4242717774454152e-09,2.4961308888000336e-06,42.5,1.1356136313191168e-08
66,adaBoost,breastCancer,matlab,test,0.039103213946024534,4.931492419154556e-07,1.0508017416153043e-07,2.6636388793302013e-06,42.5,4.6077969449537777e-07
67,adaBoost,breastCancer,matlab,train,0.2568345546722412,3.2452915884830337e-06,7.340719761485083e-07,2.858061785363479e-06,42.5,3.0314608194209914e-06
68,adaBoost,breastCancer,python,test,0.013788461685180615,1.7277264926168657e-07,3.9080482172396455e-08,2.834212223388956e-06,42.5,1.6158281101120847e-07
69,adaBoost,breastCancer,python,train,0.16697743733723955,2.10970707182531e-06,4.772073008185979e-07,2.857914757843476e-06,42.5,1.970694258257195e-06
70,adaBoost,iris,R,test,0.008073679606119733,9.997487730450102e-08,2.1715850731183628e-08,2.708864496926697e-06,42.5,9.370072020424739e-08
